r_channel;ir_channel
119217;154145
119208;154201
119208;154166
119272;154197
119228;154163
119237;154203
119290;154153
119255;154176
119259;154188
119279;154219
119263;154202
119273;154256
119238;154219
119299;154253
119284;154250
119286;154278
119319;154221
119314;154252
119334;154269
119338;154295
119321;154312
119315;154364
119295;154308
119348;154358
119330;154347
119363;154362
119382;154315
119372;154326
119392;154350
119393;154374
119363;154390
119360;154428
119355;154388
119400;154429
119364;154417
119415;154431
119407;154369
119419;154415
119404;154411
119442;154443
119415;154416
119402;154448
119401;154353
119398;154393
119355;154325
119396;154329
119387;154241
119378;154286
119384;154243
119405;154256
119361;154235
119353;154290
119390;154246
119394;154306
119367;154284
119400;154305
119397;154239
119419;154319
119420;154297
119439;154300
119416;154300
119420;154352
119430;154332
119465;154392
119422;154385
119461;154403
119451;154332
119483;154422
119470;154375
119498;154397
119454;154343
119480;154437
119481;154377
119488;154445
119459;154419
119499;154444
119512;154384
119514;154462
119520;154438
119548;154466
119509;154428
119534;154518
119540;154470
119556;154519
119497;154513
119537;154534
119544;154485
119582;154548
119552;154503
119599;154527
119559;154470
119586;154572
119555;154517
119586;154564
119544;154579
119578;154598
119587;154536
119596;154631
119584;154584
119639;154608
119580;154564
119600;154627
119622;154598
119619;154652
119573;154601
119585;154620
119577;154524
119601;154567
119585;154494
119596;154468
119550;154436
119567;154447
119557;154385
119563;154448
119523;154408
119531;154410
119554;154392
119570;154400
119565;154394
119615;154384
119565;154379
119607;154453
119589;154434
119582;154454
119563;154452
119584;154450
119601;154447
119609;154486
119606;154477
119657;154462
119620;154469
119644;154516
119630;154516
119657;154502
119603;154536
119635;154541
119626;154491
119653;154533
119632;154513
119671;154505
119633;154490
119671;154546
119645;154545
119683;154531
119633;154597
119645;154575
119682;154574
119681;154587
119685;154611
119738;154573
119694;154586
119719;154630
119710;154623
119715;154643
119680;154672
119708;154658
119714;154679
119703;154682
119715;154675
119749;154653
119707;154630
119759;154694
119765;154700
119756;154722
119727;154746
119721;154725
119768;154744
119765;154746
119786;154758
119777;154726
119768;154719
119774;154722
119780;154693
119728;154684
